cEE,cH2,cNG,cCO2,tech,elec_demand,co2_capt,EI,TRL
0.075,0.01,0.01,0.075,H2_ORC,0.568918137,0,0.264978794,Low: 3 - 4
0.075,0.01,0.01,0.1,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.01,0.15,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.01,0.2,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.01,0.25,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.035,0.075,H2_ORC,0.568918137,0,0.264978794,Low: 3 - 4
0.075,0.01,0.035,0.1,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.035,0.15,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.035,0.2,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.035,0.25,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.055,0.075,H2_ORC,0.568918137,0,0.264978794,Low: 3 - 4
0.075,0.01,0.055,0.1,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.055,0.15,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.055,0.2,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.055,0.25,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.075,0.075,H2_ORC,0.568918137,0,0.264978794,Low: 3 - 4
0.075,0.01,0.075,0.1,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.075,0.15,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.075,0.2,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.075,0.25,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.1,0.075,H2_ORC,0.568918137,0,0.264978794,Low: 3 - 4
0.075,0.01,0.1,0.1,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.1,0.15,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.1,0.2,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
0.075,0.01,0.1,0.25,H2_CC,0.892928969,0.170727317,0.098211654,Low: 3 - 4
