cEE,cH2,cNG,cCO2,tech,elec_demand,fuel_demand,co2_capt,EI,Technology
0.15,0.01,0.01,0.075,H2_ORC,,,,,
0.15,0.01,0.01,0.1,H2_ORC,,,,,
0.15,0.01,0.01,0.15,H2_CC,,,,,
0.15,0.01,0.01,0.2,H2_CC,,,,,
0.15,0.01,0.01,0.25,H2_CC,,,,,
0.15,0.01,0.035,0.075,H2_ORC,,,,,
0.15,0.01,0.035,0.1,H2_ORC,,,,,
0.15,0.01,0.035,0.15,H2_CC,,,,,
0.15,0.01,0.035,0.2,H2_CC,,,,,
0.15,0.01,0.035,0.25,H2_CC,,,,,
0.15,0.01,0.055,0.075,H2_ORC,,,,,
0.15,0.01,0.055,0.1,H2_ORC,,,,,
0.15,0.01,0.055,0.15,H2_CC,,,,,
0.15,0.01,0.055,0.2,H2_CC,,,,,
0.15,0.01,0.055,0.25,H2_CC,,,,,
0.15,0.01,0.075,0.075,H2_ORC,,,,,
0.15,0.01,0.075,0.1,H2_ORC,,,,,
0.15,0.01,0.075,0.15,H2_CC,,,,,
0.15,0.01,0.075,0.2,H2_CC,,,,,
0.15,0.01,0.075,0.25,H2_CC,,,,,
0.15,0.01,0.1,0.075,H2_ORC,,,,,
0.15,0.01,0.1,0.1,H2_ORC,,,,,
0.15,0.01,0.1,0.15,H2_CC,,,,,
0.15,0.01,0.1,0.2,H2_CC,,,,,
0.15,0.01,0.1,0.25,H2_CC,,,,,
0.15,0.025,0.01,0.075,NG_ORC,,,,,
0.15,0.025,0.01,0.1,H2_ORC,,,,,
0.15,0.025,0.01,0.15,H2_CC,,,,,
0.15,0.025,0.01,0.2,H2_CC,,,,,
0.15,0.025,0.01,0.25,H2_CC,,,,,
0.15,0.025,0.035,0.075,H2_ORC,,,,,
0.15,0.025,0.035,0.1,H2_ORC,,,,,
0.15,0.025,0.035,0.15,H2_CC,,,,,
0.15,0.025,0.035,0.2,H2_CC,,,,,
0.15,0.025,0.035,0.25,H2_CC,,,,,
0.15,0.025,0.055,0.075,H2_ORC,,,,,
0.15,0.025,0.055,0.1,H2_ORC,,,,,
0.15,0.025,0.055,0.15,H2_CC,,,,,
0.15,0.025,0.055,0.2,H2_CC,,,,,
0.15,0.025,0.055,0.25,H2_CC,,,,,
0.15,0.025,0.075,0.075,H2_ORC,,,,,
0.15,0.025,0.075,0.1,H2_ORC,,,,,
0.15,0.025,0.075,0.15,H2_CC,,,,,
0.15,0.025,0.075,0.2,H2_CC,,,,,
0.15,0.025,0.075,0.25,H2_CC,,,,,
0.15,0.025,0.1,0.075,H2_ORC,,,,,
0.15,0.025,0.1,0.1,H2_ORC,,,,,
0.15,0.025,0.1,0.15,H2_CC,,,,,
0.15,0.025,0.1,0.2,H2_CC,,,,,
0.15,0.025,0.1,0.25,H2_CC,,,,,
0.15,0.05,0.01,0.075,NG_ORC,,,,,
0.15,0.05,0.01,0.1,NG_ORC,,,,,
0.15,0.05,0.01,0.15,NGOxy_ORC_CC,,,,,
0.15,0.05,0.01,0.2,NGOxy_ORC_CC,,,,,
