cEE,cH2,cNG,cCO2
0.01,0.01,0.01,0.075
0.01,0.01,0.01,0.1
0.01,0.01,0.01,0.15
0.01,0.01,0.01,0.2
0.01,0.01,0.01,0.25
0.01,0.01,0.035,0.075
0.01,0.01,0.035,0.1
0.01,0.01,0.035,0.15
0.01,0.01,0.035,0.2
0.01,0.01,0.035,0.25
0.01,0.01,0.055,0.075
0.01,0.01,0.055,0.1
0.01,0.01,0.055,0.15
0.01,0.01,0.055,0.2
0.01,0.01,0.055,0.25
0.01,0.01,0.075,0.075
0.01,0.01,0.075,0.1
0.01,0.01,0.075,0.15
0.01,0.01,0.075,0.2
0.01,0.01,0.075,0.25
0.01,0.01,0.1,0.075
0.01,0.01,0.1,0.1
0.01,0.01,0.1,0.15
0.01,0.01,0.1,0.2
0.01,0.01,0.1,0.25
0.01,0.025,0.01,0.075
0.01,0.025,0.01,0.1
0.01,0.025,0.01,0.15
0.01,0.025,0.01,0.2
0.01,0.025,0.01,0.25
0.01,0.025,0.035,0.075
0.01,0.025,0.035,0.1
0.01,0.025,0.035,0.15
0.01,0.025,0.035,0.2
0.01,0.025,0.035,0.25
0.01,0.025,0.055,0.075
0.01,0.025,0.055,0.1
0.01,0.025,0.055,0.15
0.01,0.025,0.055,0.2
0.01,0.025,0.055,0.25
0.01,0.025,0.075,0.075
0.01,0.025,0.075,0.1
0.01,0.025,0.075,0.15
0.01,0.025,0.075,0.2
0.01,0.025,0.075,0.25
0.01,0.025,0.1,0.075
0.01,0.025,0.1,0.1
0.01,0.025,0.1,0.15
0.01,0.025,0.1,0.2
0.01,0.025,0.1,0.25
0.01,0.05,0.01,0.075
0.01,0.05,0.01,0.1
0.01,0.05,0.01,0.15
0.01,0.05,0.01,0.2
0.01,0.05,0.01,0.25
0.01,0.05,0.035,0.075
0.01,0.05,0.035,0.1
0.01,0.05,0.035,0.15
0.01,0.05,0.035,0.2
0.01,0.05,0.035,0.25
0.01,0.05,0.055,0.075
0.01,0.05,0.055,0.1
0.01,0.05,0.055,0.15
0.01,0.05,0.055,0.2
0.01,0.05,0.055,0.25
0.01,0.05,0.075,0.075
0.01,0.05,0.075,0.1
0.01,0.05,0.075,0.15
0.01,0.05,0.075,0.2
0.01,0.05,0.075,0.25
0.01,0.05,0.1,0.075
0.01,0.05,0.1,0.1
0.01,0.05,0.1,0.15
0.01,0.05,0.1,0.2
0.01,0.05,0.1,0.25
0.01,0.075,0.01,0.075
0.01,0.075,0.01,0.1
0.01,0.075,0.01,0.15
0.01,0.075,0.01,0.2
0.01,0.075,0.01,0.25
0.01,0.075,0.035,0.075
0.01,0.075,0.035,0.1
0.01,0.075,0.035,0.15
0.01,0.075,0.035,0.2
0.01,0.075,0.035,0.25
0.01,0.075,0.055,0.075
0.01,0.075,0.055,0.1
0.01,0.075,0.055,0.15
0.01,0.075,0.055,0.2
0.01,0.075,0.055,0.25
0.01,0.075,0.075,0.075
0.01,0.075,0.075,0.1
0.01,0.075,0.075,0.15
0.01,0.075,0.075,0.2
0.01,0.075,0.075,0.25
0.01,0.075,0.1,0.075
0.01,0.075,0.1,0.1
0.01,0.075,0.1,0.15
0.01,0.075,0.1,0.2
0.01,0.075,0.1,0.25
0.01,0.1,0.01,0.075
0.01,0.1,0.01,0.1
0.01,0.1,0.01,0.15
0.01,0.1,0.01,0.2
0.01,0.1,0.01,0.25
0.01,0.1,0.035,0.075
0.01,0.1,0.035,0.1
0.01,0.1,0.035,0.15
0.01,0.1,0.035,0.2
0.01,0.1,0.035,0.25
0.01,0.1,0.055,0.075
0.01,0.1,0.055,0.1
0.01,0.1,0.055,0.15
0.01,0.1,0.055,0.2
0.01,0.1,0.055,0.25
0.01,0.1,0.075,0.075
0.01,0.1,0.075,0.1
0.01,0.1,0.075,0.15
0.01,0.1,0.075,0.2
0.01,0.1,0.075,0.25
0.01,0.1,0.1,0.075
0.01,0.1,0.1,0.1
0.01,0.1,0.1,0.15
0.01,0.1,0.1,0.2
0.01,0.1,0.1,0.25
0.01,0.15,0.01,0.075
0.01,0.15,0.01,0.1
0.01,0.15,0.01,0.15
0.01,0.15,0.01,0.2
0.01,0.15,0.01,0.25
0.01,0.15,0.035,0.075
0.01,0.15,0.035,0.1
0.01,0.15,0.035,0.15
0.01,0.15,0.035,0.2
0.01,0.15,0.035,0.25
0.01,0.15,0.055,0.075
0.01,0.15,0.055,0.1
0.01,0.15,0.055,0.15
0.01,0.15,0.055,0.2
0.01,0.15,0.055,0.25
0.01,0.15,0.075,0.075
0.01,0.15,0.075,0.1
0.01,0.15,0.075,0.15
0.01,0.15,0.075,0.2
0.01,0.15,0.075,0.25
0.01,0.15,0.1,0.075
0.01,0.15,0.1,0.1
0.01,0.15,0.1,0.15
0.01,0.15,0.1,0.2
0.01,0.15,0.1,0.25
0.01,0.2,0.01,0.075
0.01,0.2,0.01,0.1
0.01,0.2,0.01,0.15
0.01,0.2,0.01,0.2
0.01,0.2,0.01,0.25
0.01,0.2,0.035,0.075
0.01,0.2,0.035,0.1
0.01,0.2,0.035,0.15
0.01,0.2,0.035,0.2
0.01,0.2,0.035,0.25
0.01,0.2,0.055,0.075
0.01,0.2,0.055,0.1
0.01,0.2,0.055,0.15
0.01,0.2,0.055,0.2
0.01,0.2,0.055,0.25
0.01,0.2,0.075,0.075
0.01,0.2,0.075,0.1
0.01,0.2,0.075,0.15
0.01,0.2,0.075,0.2
0.01,0.2,0.075,0.25
0.01,0.2,0.1,0.075
0.01,0.2,0.1,0.1
0.01,0.2,0.1,0.15
0.01,0.2,0.1,0.2
0.01,0.2,0.1,0.25
0.025,0.01,0.01,0.075
0.025,0.01,0.01,0.1
0.025,0.01,0.01,0.15
0.025,0.01,0.01,0.2
0.025,0.01,0.01,0.25
0.025,0.01,0.035,0.075
0.025,0.01,0.035,0.1
0.025,0.01,0.035,0.15
0.025,0.01,0.035,0.2
0.025,0.01,0.035,0.25
0.025,0.01,0.055,0.075
0.025,0.01,0.055,0.1
0.025,0.01,0.055,0.15
0.025,0.01,0.055,0.2
0.025,0.01,0.055,0.25
0.025,0.01,0.075,0.075
0.025,0.01,0.075,0.1
0.025,0.01,0.075,0.15
0.025,0.01,0.075,0.2
0.025,0.01,0.075,0.25
0.025,0.01,0.1,0.075
0.025,0.01,0.1,0.1
0.025,0.01,0.1,0.15
0.025,0.01,0.1,0.2
0.025,0.01,0.1,0.25
0.025,0.025,0.01,0.075
0.025,0.025,0.01,0.1
0.025,0.025,0.01,0.15
0.025,0.025,0.01,0.2
0.025,0.025,0.01,0.25
0.025,0.025,0.035,0.075
0.025,0.025,0.035,0.1
0.025,0.025,0.035,0.15
0.025,0.025,0.035,0.2
0.025,0.025,0.035,0.25
0.025,0.025,0.055,0.075
0.025,0.025,0.055,0.1
0.025,0.025,0.055,0.15
0.025,0.025,0.055,0.2
0.025,0.025,0.055,0.25
0.025,0.025,0.075,0.075
0.025,0.025,0.075,0.1
0.025,0.025,0.075,0.15
0.025,0.025,0.075,0.2
0.025,0.025,0.075,0.25
0.025,0.025,0.1,0.075
0.025,0.025,0.1,0.1
0.025,0.025,0.1,0.15
0.025,0.025,0.1,0.2
0.025,0.025,0.1,0.25
0.025,0.05,0.01,0.075
0.025,0.05,0.01,0.1
0.025,0.05,0.01,0.15
0.025,0.05,0.01,0.2
0.025,0.05,0.01,0.25
0.025,0.05,0.035,0.075
0.025,0.05,0.035,0.1
0.025,0.05,0.035,0.15
0.025,0.05,0.035,0.2
0.025,0.05,0.035,0.25
0.025,0.05,0.055,0.075
0.025,0.05,0.055,0.1
0.025,0.05,0.055,0.15
0.025,0.05,0.055,0.2
0.025,0.05,0.055,0.25
0.025,0.05,0.075,0.075
0.025,0.05,0.075,0.1
0.025,0.05,0.075,0.15
0.025,0.05,0.075,0.2
0.025,0.05,0.075,0.25
0.025,0.05,0.1,0.075
0.025,0.05,0.1,0.1
0.025,0.05,0.1,0.15
0.025,0.05,0.1,0.2
0.025,0.05,0.1,0.25
0.025,0.075,0.01,0.075
0.025,0.075,0.01,0.1
0.025,0.075,0.01,0.15
0.025,0.075,0.01,0.2
0.025,0.075,0.01,0.25
0.025,0.075,0.035,0.075
0.025,0.075,0.035,0.1
0.025,0.075,0.035,0.15
0.025,0.075,0.035,0.2
0.025,0.075,0.035,0.25
0.025,0.075,0.055,0.075
0.025,0.075,0.055,0.1
0.025,0.075,0.055,0.15
0.025,0.075,0.055,0.2
0.025,0.075,0.055,0.25
0.025,0.075,0.075,0.075
0.025,0.075,0.075,0.1
0.025,0.075,0.075,0.15
0.025,0.075,0.075,0.2
0.025,0.075,0.075,0.25
0.025,0.075,0.1,0.075
0.025,0.075,0.1,0.1
0.025,0.075,0.1,0.15
0.025,0.075,0.1,0.2
0.025,0.075,0.1,0.25
0.025,0.1,0.01,0.075
0.025,0.1,0.01,0.1
0.025,0.1,0.01,0.15
0.025,0.1,0.01,0.2
0.025,0.1,0.01,0.25
0.025,0.1,0.035,0.075
0.025,0.1,0.035,0.1
0.025,0.1,0.035,0.15
0.025,0.1,0.035,0.2
0.025,0.1,0.035,0.25
0.025,0.1,0.055,0.075
0.025,0.1,0.055,0.1
0.025,0.1,0.055,0.15
0.025,0.1,0.055,0.2
0.025,0.1,0.055,0.25
0.025,0.1,0.075,0.075
0.025,0.1,0.075,0.1
0.025,0.1,0.075,0.15
0.025,0.1,0.075,0.2
0.025,0.1,0.075,0.25
0.025,0.1,0.1,0.075
0.025,0.1,0.1,0.1
0.025,0.1,0.1,0.15
0.025,0.1,0.1,0.2
0.025,0.1,0.1,0.25
0.025,0.15,0.01,0.075
0.025,0.15,0.01,0.1
0.025,0.15,0.01,0.15
0.025,0.15,0.01,0.2
0.025,0.15,0.01,0.25
0.025,0.15,0.035,0.075
0.025,0.15,0.035,0.1
0.025,0.15,0.035,0.15
0.025,0.15,0.035,0.2
0.025,0.15,0.035,0.25
0.025,0.15,0.055,0.075
0.025,0.15,0.055,0.1
0.025,0.15,0.055,0.15
0.025,0.15,0.055,0.2
0.025,0.15,0.055,0.25
0.025,0.15,0.075,0.075
0.025,0.15,0.075,0.1
0.025,0.15,0.075,0.15
0.025,0.15,0.075,0.2
0.025,0.15,0.075,0.25
0.025,0.15,0.1,0.075
0.025,0.15,0.1,0.1
0.025,0.15,0.1,0.15
0.025,0.15,0.1,0.2
0.025,0.15,0.1,0.25
0.025,0.2,0.01,0.075
